,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
383,20,p216,12.6715,8.1003,9.5882,31.6293,1.6358732041328876,1.7433532670089467,78.0,38.0,1,1
384,20,p217,11.6682,8.0752,8.93,31.6638,1.5971047335725983,1.7079210450932063,78.0,38.0,1,1
385,20,p218,12.9062,6.4269,12.1429,32.2085,1.4487017360381675,1.8027216369259547,74.0,38.0,1,1
386,20,p219,13.4693,6.3305,13.148,31.4833,1.502551117266897,1.786922221116458,73.0,38.0,1,1
387,20,p220,14.3883,6.2967,14.213,31.8428,1.6784381102679955,1.8241395909359164,73.0,38.0,1,1
388,20,p221,11.3272,5.7482,5.7047,31.785999999999998,1.4224982425296702,1.767938258766461,81.0,38.0,1,1
389,20,p222,10.6847,5.6567,5.1324,31.8658,1.3595399405681319,1.7701669336358765,81.0,38.0,1,1
390,20,p223,10.5091,7.0181,4.4419,16.3535,1.471027752967292,1.8058919240068647,54.0,38.0,1,1
391,20,p224,9.8232,6.9092,4.4331,16.547,1.4160250880545866,1.6849875851360663,53.0,38.0,1,1
392,20,p227,14.1548,3.8854,14.2918,31.7252,1.5513757314074499,1.8487838153849614,76.0,38.0,1,1
393,20,p228,13.6064,4.1845,13.4371,31.8471,1.4267498764674906,1.8482239706837564,76.0,38.0,1,1
394,20,p229,13.1959,4.3915,12.8364,31.8348,1.4051833652587837,1.817323029167534,76.0,38.0,1,1
395,20,p230,11.0704,3.9386,4.3814,26.951,1.3278204773236477,1.8408093032354618,74.0,38.0,1,1
396,20,p231,10.3719,3.9615,4.3584,27.4055,2.14235768488831,3.08963036628067,59.0,38.0,1,1
397,20,p234,13.8668,3.8101,12.1408,31.6057,1.350908324054597,1.694938073738459,81.0,41.0,1,1
398,20,p235,13.3382,3.7177,11.4539,31.9709,1.2742221548850892,1.669444966770123,82.0,41.0,1,1
399,20,p236,12.255999999999998,3.7683,10.7416,31.9207,1.3101817278530485,1.7295524141977592,80.0,41.0,1,1
400,20,p237,11.5657,3.5331,10.0545,31.5724,1.3989936990565754,1.7450658215315662,80.0,41.0,1,1
401,20,p238,14.3237,4.6483,13.3802,32.1544,1.243044524544475,1.9200564976814345,79.0,44.0,1,1
402,20,p239,13.6523,4.6039,12.5878,32.0934,1.1787858499320392,1.9444297443416012,79.0,44.0,1,1
403,20,p240,12.5233,4.4582,10.5216,31.5125,1.3632075593980546,1.6911493392209316,82.0,44.0,1,1
404,20,p241,11.9139,4.5387,9.9075,31.6726,1.3178287787114076,1.7106814951983387,82.0,44.0,1,1
405,20,p242,10.8142,4.5252,9.8281,31.4093,1.9266246391033204,2.1408030353786236,74.0,44.0,1,1
406,20,p243,10.8198,3.2781,6.7013,32.0222,1.503114872523055,1.8212063109815655,83.0,44.0,1,1
